order_id,customer_id,order_date
1,377,2024-01-17
2,256,2025-11-26
3,199,2026-02-24
4,61,2024-06-20
5,397,2024-06-17
6,361,2025-07-02
7,110,2024-08-07
8,356,2025-10-02
9,103,2023-09-09
10,70,2023-06-01
11,232,2023-12-20
12,461,2025-06-30
13,45,2024-10-16
14,342,2024-12-12
15,364,2023-05-13
16,282,2026-01-15
17,149,2024-09-06
18,436,2023-11-19
19,365,2023-12-23
20,407,2025-01-10
21,261,2024-04-04
22,63,2024-02-16
23,406,2023-10-12
24,122,2025-10-08
25,14,2025-01-09
26,284,2026-03-18
27,189,2025-08-15
28,412,2026-02-03
29,67,2023-06-26
30,34,2024-09-25
31,204,2025-09-07
32,270,2025-04-21
33,394,2025-04-18
34,422,2026-03-23
35,38,2023-09-14
36,498,2024-10-11
37,329,2023-06-01
38,231,2025-08-12
39,349,2025-11-25
40,177,2023-09-20
41,450,2026-02-03
42,328,2024-01-08
43,394,2023-09-22
44,222,2025-10-26
45,467,2023-04-24
46,426,2023-09-12
47,266,2023-11-10
48,156,2023-12-04
49,83,2024-10-22
50,479,2024-04-06
51,178,2025-11-28
52,459,2024-08-04
53,434,2023-06-11
54,129,2024-02-07
55,326,2026-02-02
56,141,2023-09-14
57,321,2024-09-12
58,315,2025-12-28
59,48,2025-10-26
60,329,2023-12-12
61,304,2026-04-04
62,79,2023-12-17
63,338,2024-11-22
64,432,2026-02-28
65,22,2023-02-28
66,42,2023-04-04
67,486,2026-03-27
68,136,2024-03-07
69,393,2026-03-17
70,214,2023-03-04
71,255,2026-01-22
72,149,2024-09-10
73,248,2024-05-16
74,413,2025-04-11
75,153,2025-07-17
76,38,2023-05-03
77,81,2025-06-19
78,213,2025-09-18
79,238,2024-02-22
80,175,2023-10-22
81,161,2024-10-15
82,376,2024-12-08
83,500,2025-03-27
84,67,2025-01-28
85,264,2026-02-24
86,55,2024-10-15
87,124,2025-08-13
88,63,2024-07-01
89,231,2024-05-22
90,73,2023-07-18
91,26,2024-08-17
92,485,2025-02-25
93,443,2025-05-06
94,128,2023-11-24
95,417,2024-11-01
96,479,2026-03-29
97,370,2024-10-02
98,98,2023-11-23
99,256,2025-11-20
100,240,2025-10-18
101,451,2024-09-23
102,255,2023-02-17
103,47,2025-03-16
104,259,2025-07-25
105,495,2024-05-08
106,111,2026-04-09
107,181,2023-04-10
108,26,2024-07-30
109,254,2025-08-21
110,147,2026-01-04
111,5,2023-08-09
112,221,2023-10-02
113,452,2024-06-25
114,373,2025-01-19
115,392,2025-04-05
116,188,2023-04-03
117,206,2023-04-15
118,292,2026-02-24
119,100,2025-01-12
120,284,2024-08-14
121,38,2025-03-02
122,259,2025-07-11
123,392,2026-01-31
124,144,2023-09-01
125,66,2023-07-18
126,202,2025-02-03
127,407,2024-11-25
128,286,2025-01-18
129,387,2023-10-23
130,102,2025-11-08
131,206,2025-10-21
132,21,2023-04-03
133,20,2023-10-08
134,366,2024-11-13
135,412,2025-08-28
136,266,2025-07-24
137,77,2025-11-21
138,72,2024-11-02
139,477,2024-10-14
140,84,2025-03-15
141,316,2024-09-04
142,304,2024-11-19
143,260,2025-11-09
144,273,2025-09-30
145,363,2026-02-26
146,154,2025-08-30
147,418,2023-02-04
148,189,2024-11-09
149,345,2023-08-13
150,214,2026-04-10
151,158,2023-02-24
152,306,2025-08-29
153,136,2026-03-30
154,296,2024-04-11
155,370,2023-04-16
156,299,2025-09-10
157,88,2025-12-09
158,323,2025-02-17
159,76,2024-05-11
160,17,2026-03-18
161,486,2023-08-14
162,98,2023-02-08
163,226,2024-10-04
164,215,2023-11-07
165,212,2024-02-22
166,211,2025-10-24
167,397,2025-08-23
168,447,2023-05-08
169,362,2023-10-10
170,266,2024-02-29
171,288,2024-10-27
172,340,2025-09-06
173,270,2025-02-10
174,161,2023-12-21
175,236,2025-12-27
176,176,2026-01-23
177,182,2024-06-25
178,313,2025-09-18
179,99,2024-05-19
180,143,2026-02-16
181,153,2024-04-05
182,483,2024-09-01
183,395,2024-08-14
184,361,2024-02-29
185,354,2025-09-28
186,163,2025-09-09
187,179,2026-02-21
188,479,2024-07-14
189,148,2023-09-07
190,294,2026-01-17
191,195,2025-03-19
192,420,2024-12-07
193,489,2023-10-27
194,149,2023-03-28
195,148,2023-06-11
196,178,2025-06-24
197,336,2024-06-09
198,383,2025-09-08
