order_item_id,order_id,product_id,quantity,discount
1,1,35,1,0.16
2,2,53,1,0.1
3,2,12,3,0.27
4,2,100,3,0.04
5,2,29,3,0
6,2,49,2,0.11
7,3,16,2,0.16
8,4,76,4,0.03
9,4,45,5,0.26
10,4,71,3,0.18
11,5,22,3,0.28
12,6,24,3,0.24
13,6,87,5,0.17
14,6,52,4,0.18
15,6,34,1,0.21
16,7,85,2,0.04
17,7,73,3,0.02
18,8,91,2,0.2
19,8,54,4,0.05
20,8,46,4,0.15
21,9,55,5,0.28
22,9,30,3,0.19
23,9,12,3,0.12
24,10,12,1,0.02
25,10,31,1,0.05
26,10,8,1,0.22
27,11,64,1,0.29
28,11,55,5,0.28
29,11,18,4,0.15
30,11,88,5,0.21
31,11,52,1,0.18
32,12,92,4,0.21
33,13,32,5,0.21
34,13,6,5,0.13
35,13,22,5,0.27
36,14,10,3,0.25
37,14,66,3,0.29
38,15,64,4,0.05
39,15,15,3,0.27
40,15,32,5,0.26
41,15,16,3,0.09
42,16,34,2,0
43,16,81,5,0.12
44,16,40,5,0.25
45,17,60,5,0.25
46,18,46,1,0.18
47,19,39,3,0.03
48,19,45,2,0.12
49,19,2,1,0.13
50,20,11,5,0.15
51,20,20,4,0.04
52,21,1,2,0.23
53,21,33,2,0.14
54,21,48,3,0.11
55,21,24,5,0.24
56,22,57,4,0.05
57,23,96,4,0
58,23,91,2,0.03
59,23,37,1,0.04
60,24,96,3,0.27
61,24,21,2,0.28
62,24,86,3,0.04
63,24,63,5,0.15
64,25,42,4,0.15
65,25,95,4,0.04
66,26,3,2,0.05
67,27,2,2,0.02
68,27,44,4,0.29
69,27,95,1,0.13
70,27,38,3,0.15
71,27,98,4,0.07
72,28,94,5,0.06
73,28,36,1,0.26
74,29,86,4,0.06
75,29,91,1,0.21
76,30,79,2,0.06
77,30,76,2,0.07
78,30,17,4,0.01
79,30,25,2,0.13
80,30,79,2,0.03
81,31,49,4,0.16
82,32,29,3,0.13
83,32,8,5,0.13
84,33,39,1,0.08
85,34,45,4,0.07
86,34,7,2,0.01
87,34,7,3,0.06
88,35,36,5,0.03
89,35,24,3,0.28
90,35,47,3,0.09
91,35,13,1,0.2
92,36,43,3,0.22
93,36,47,5,0.16
94,37,31,3,0.06
95,37,50,1,0.27
96,37,17,5,0.04
97,38,84,2,0.06
98,38,58,1,0.02
99,38,70,5,0.1
100,38,93,4,0.3
101,38,26,5,0.22
102,39,17,2,0.13
103,40,98,5,0.29
104,40,47,4,0.19
105,40,16,4,0.02
106,41,68,5,0.24
107,41,22,5,0.08
108,41,17,3,0.01
109,41,73,1,0.24
110,42,95,4,0.15
111,42,69,5,0.29
112,43,57,5,0.12
113,43,100,4,0.12
114,44,27,2,0
115,44,74,2,0.18
116,44,2,5,0.14
117,45,34,3,0.26
118,45,38,3,0.17
119,45,22,2,0.01
120,45,31,3,0.01
121,45,19,3,0.28
122,46,7,2,0.3
123,46,27,5,0.03
124,46,84,3,0.19
125,47,42,1,0.28
126,47,71,3,0.22
127,47,53,5,0.09
128,48,81,1,0.25
129,49,94,3,0.05
130,49,3,5,0.2
131,50,14,4,0.28
132,50,33,5,0.17
133,50,57,2,0.1
134,50,27,5,0.19
135,50,97,4,0.05
136,51,94,4,0.11
137,51,62,1,0.15
138,52,24,2,0.06
139,52,63,2,0.19
140,52,3,3,0.05
141,52,23,4,0.21
142,53,9,2,0.02
143,53,32,4,0.27
144,54,13,5,0.04
145,54,97,1,0.18
146,54,49,4,0.01
147,54,2,1,0.04
148,55,35,2,0.28
149,56,2,1,0.29
150,56,14,5,0.22
151,56,44,1,0.06
152,56,62,5,0.27
153,56,21,3,0.1
154,57,32,1,0.16
155,57,35,5,0.04
156,58,14,5,0.09
157,59,54,2,0
158,59,29,1,0.07
159,59,50,2,0.11
160,59,37,2,0.28
161,59,88,4,0.21
162,60,63,2,0.3
163,61,14,3,0.11
164,61,79,3,0.04
165,62,6,5,0.05
166,63,68,3,0.18
167,63,87,4,0.05
168,63,86,3,0.19
169,63,37,3,0.26
170,64,64,3,0.28
171,64,92,1,0.24
172,64,20,2,0.1
173,65,58,4,0.24
174,65,15,5,0.13
175,65,94,3,0.04
176,65,42,2,0.05
177,66,46,3,0.15
178,66,62,4,0.18
179,66,82,3,0.04
180,66,84,2,0.11
181,67,64,5,0.16
182,67,69,5,0.25
183,67,50,1,0.17
184,67,54,5,0.17
185,67,89,2,0.21
186,68,47,1,0.06
187,68,3,3,0.17
188,69,15,1,0.27
189,69,47,2,0.09
190,70,71,4,0.07
191,70,29,1,0.22
192,71,90,2,0.11
193,72,90,4,0.11
194,73,85,5,0.02
195,74,21,1,0.04
196,74,19,1,0.07
197,74,2,5,0.25
198,74,54,2,0.23
199,74,61,2,0.22
200,75,61,4,0.22
201,75,57,1,0.09
202,75,20,1,0.26
203,76,78,2,0.15
204,77,51,4,0.2
205,78,71,3,0.28
206,78,65,3,0.21
207,78,55,2,0.08
208,78,12,5,0.11
209,79,96,2,0.12
210,79,8,2,0.12
211,80,78,1,0.24
212,80,60,4,0.09
213,80,83,4,0.25
214,80,22,1,0.24
215,80,83,4,0.06
216,81,14,1,0.11
217,82,4,2,0.08
218,82,70,1,0.02
219,82,77,1,0.23
220,83,25,5,0.06
221,83,5,2,0.08
222,83,73,5,0.01
223,84,6,1,0.09
224,84,40,1,0.29
225,84,97,3,0.29
226,84,65,2,0.09
